#OTU ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120
Faecalibacterium longum PLC205.15	64187	34781	6208	104056	186777	12340	20727	16475	51828	88547	105250	27193	51464	0	30875	0	46456	0	60509	119884	14029	116285	5355	52920	80021	12328	9459	60930	37897	13772	73478	112309	0	8008	25784	42447	91693	201626	5683	20259	50632	1180	36411	553513	6917	48918	64840	0	3738	49972	9094	22193	37201	46910	30472	31416	118441	0	7983	8031	29972	41521	73618	11393	16389	43862	22101	53678	60790	49986	6838	0	48737	80100	44290	14703	98232	39584	23797	24543	0	10338	24110	0	0	78207	20564	63107	6478	95008	89116	5462	150697	2537	108286	74563	35850	149253	96923	56792	0	28777	312407	11726	16044	12580	102503	233776	19096	45878	401297	30418	28411	20678	0	11191	272410	84237	97945	102630
Longicatena caecimuris PLC205.2	3393	1016	2596	18258	1441	3525	1508	2523	593	2538	12506	2264	1041	2022	3282	5859	1704	1064	3663	1161	0	18397	2202	1625	903	3114	716	1033	612	5216	3127	2965	22170	1560	2237	6473	2964	0	0	7472	2089	10557	2009	3422	0	5160	600	0	0	6993	1528	2475	1933	3247	2659	2248	6559	1719	2058	0	1071	1132	8741	1704	7194	1088	1133	2135	827	1459	2864	4088	2971	1971	3629	1319	1944	2819	0	3299	630	4811	544	981	537	1722	1137	0	0	2532	5640	1632	706	5651	2041	1627	3790	3191	4254	1785	676	2695	2849	10314	7548	2544	2736	8171	4295	9110	2237	902	1786	3194	0	706	4144	497	1424	1236
Butyribacter sp003529475 PLC206.47	112584	5940	6323	2603	13137	11424	3355	1824	1060	2856	8366	6775	19867	8158	389136	1807	1237	9168	40551	6247	952	7490	2513	2851	4764	8952	1880	8843	82090	13246	13972	24854	10027	143806	7741	3714	12059	4244	3360	10307	3581	5826	23836	13164	4621	3089	2419	6745	10126	5394	0	8413	7090	19437	3592	27932	135647	2701	13862	0	5095	6559	4984	23374	31041	46957	5012	20972	8841	5828	3655	16124	4171	0	90503	845	24751	35135	0	0	31033	2710	7496	4781	12798	1056	12416	6291	7818	2640	5303	729	14161	2179	6299	9649	33449	14922	4333	6289	2435	5213	1741	8684	14063	2286	30884	10213	52073	85562	5230	584	5609	7609	4007	5531	25988	0	4180	17211
Faecalibacterium longum PLC208.21	57275	26418	24747	97722	148358	0	16636	0	24491	75539	73501	25997	29981	20495	25775	5342974	22875	21123	41808	72572	0	67069	0	26793	69074	57121	27220	41423	47277	0	54517	19370	0	13295	23102	34607	48201	104766	24314	43045	22192	61448	31258	629085	13723	61073	57379	0	26254	20083	18273	33187	32721	49847	18640	21686	89266	21312	8999	0	12476	29595	69319	14085	27270	40468	36192	33068	35595	173712	11841	69419	34461	118423	31806	4697	45572	29646	0	1481	29027	1708	44542	43290	27700	115543	19863	0	0	77468	88072	0	77288	0	49605	87262	464212	102585	50446	84089	29226	28490	264490	763	10907	5851	35330	247416	29928	33879	263485	55950	19606	25979	50389	19832	264097	61436	109096	58124
Dysosmobacter welbionis PLC210.10	21066	0	140724	15947	1730	36076	1414	977	495	4689	4840	98970	8300	145365	27563	0	3719	355272	30804	8469	0	1744	150173	4838	1718	177388	25451	8808	24180	3244	148564	2525	79251	1847	5374	11682	32709	741	17070	0	31448	18248	6581	6881	627	3224	1672	0	4846	14901	0	33948	131766	1187	2174	110445	57590	0	3097	0	403	4090	216995	2976	3900	47583	106860	5037	13103	85254	98496	0	0	577	99739	0	14069	95630	0	688	1219	975	48540	1164	12702	0	5499	495	12834	14285	6697	528	18572	12952	8586	80438	152793	157498	6750	21478	0	95543	662	636149	1933	74605	14165	6923	37993	450965	2545	14209	8070	57403	7726	40052	14807	28623	21124	21596
Faecalibacterium duncaniae PLC210.24	45102	10386	61389	106416	85904	43759	252450	34155	225631	187662	60816	30013	149753	22112	90762	116993	229591	831715	75366	573555	86294	1108681	19472	103020	410381	51146	38932	68048	144516	125575	474393	205677	49737	111011	63775	382546	228656	60862	7833	92758	55940	83969	188543	407201	142258	208921	103031	55938	17965	284314	13441	98161	121385	125392	128658	63539	90548	4696	44072	54899	172951	96585	355420	41548	98789	200232	91769	93499	251272	81108	116782	40667	563673	20465	284291	55503	278031	239900	71950	75962	2992	34918	33045	68676	60892	26923	58204	187572	61670	85704	49676	35024	329189	78072	491669	116332	426501	87708	294280	132173	13268	267028	749933	50094	129809	75207	202702	679615	180370	347151	70232	136529	92761	91171	168450	196770	502308	50650	125065	209797
Ruminococcus_E bromii_B PLC212.26	49346	47870	36410	38121	87659	191405	47819	48847	0	61861	230970	126174	55912	71522	83331	84972	74321	47922	68643	3455579	4063	162019	41996	75585	55806	56049	54468	17478	37719	100876	60713	41235	57005	53740	4422	104674	147702	106246	197735	52936	4629	83194	69520	115811	16252	81122	0	111180	137473	81531	37893	72598	42003	38448	94232	38361	73646	6957	28791	0	69356	36895	55709	55268	20759	126638	44830	120861	31891	49213	182761	24660	88111	5468	100271	15646	68524	43728	0	15007	37699	24983	10238	99404	21972	58266	26088	82679	98500	10336	37541	0	87119	62147	106811	151094	105544	25372	86686	149709	0	35230	133285	86961	65660	60891	48305	116104	104558	50630	16435	14981	45625	50185	8115	37433	46483	9910	31111	81253
Blautia_A massiliensis PLC212.9	13692	0	7952	103065	32268	898	129558	3211	44249	60117	59031	31845	15760	3915	103194	9679	54062	6469	132430	474462	4419	80702	452	333461	120244	18798	16903	6977	22547	117825	11688	411743	215468	71311	168859	46109	51656	10559	683	169779	2216	51149	73690	202895	23143	70325	5465	8660	44038	105846	695	5439	27997	472993	7839	28910	30738	0	244063	0	764412	23620	29307	81019	87899	22569	19394	17504	39859	70644	1240	23513	57919	0	197605	448	20574	125371	0	734	0	102431	7294	1085	11141	115735	236788	94360	794793	45808	2746	819	123275	1808	128447	113053	111504	141986	241266	148331	0	21710	89126	0	104118	1184	55781	66688	211979	651507	197216	3309	79998	82259	10593	47616	58529	40422	1165	13297
Faecalimonas umbilicata PLC213.1	577	7683	0	4327	1597	18002	48268	0	493	1293	767491	39837	1014	7216	3732	71689	685	2988	1328	1199	773852	1822	640	0	0	1288	0	0	0	59986	2655	0	80999	3659	839	1122	1714	1279	593	59308	1068	0	1230	2357	0	0	0	682453	18173	877	198874	2666	2088	0	1352	821	773	789	2094	0	3310	737	1475	17633	0	0	1269	1265	0	0	1342	24143	1073	3719	1415	1125	733	0	0	1443	1646	230654	6163	92263	0	1235	1697	0	191690	2847	285106	139533	1556	999	0	2420	3875	19047	977	702	20480	0	0	18652	9147	19540	1594	3601	2314	1432	0	1622	1440	2088	1775	583	1013	0	1671	479
Roseburia sp003470905 PLC213.4	15375	1139	723	12492	216148	0	21068	5395	1543	14613	91791	18160	35298	36938	5654	32177	10892	7690	9147	19154	393045	11434	1466	11526	5975	8499	11314	28935	16498	6935	1555	8341	2374	6156	2854	13286	21382	6913	0	3175	2254	23767	20251	8265	7130	6566	0	31676	18223	24644	0	6246	34329	0	17799	21620	20029	0	1812	0	17577	9061	5986	4335	8948	2348	16488	16856	56816	5100	2882	5880	2468	5130	64045	1933	22775	23225	0	1650	0	0	3943	16625	28900	12544	6279	20376	6532	1407	1542	0	29950	2380	17793	9432	16069	55830	15701	150856	687	9765	15571	0	6936	2800	4034	10024	6519	2933	4694	1984	5569	11760	5092	52456	14451	7574	0	73989
