#OTU ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76
Longicatena caecimuris PLC205.2	4784	932	788	694655	2084	8146	3088	29805	8598	31596	18822	1816	1443	964	632	633	4174	7198	11183	6468	1479	6227	7128	30785	4706	2880	1711	6409	2482	1439	1724	2662	616	796	2810	1364	34636	3159	3033	2077	4944	917	945	5182	2819	5274	7258	0	0	3312	2370	1035	774	3452	0	3814	1789	1498	9036	1571	5213	2936	2889	3117	3627	8691	0	3481	0	1370	1012	13391	741	7833	5583	2279
Butyribacter sp003529475 PLC206.47	2874	3171	634	50332	6957	16601	89366	3824	18089	4484	2694	6256	1791	2393	4897	0	36646	2179	13646	4191	5716	0	0	2712	3873	2709	6992	4601	4997	3692	6239	48031	11347	3878	785	39309	0	5148	3417	6478	3638	4019	0	2113	84540	833	65581	1827	1359	1797	45799	12466	524	19631	682	0	3360	3070	1037	804	3063	24562	14944	99643	3784	2098	1078	3623	1436	3207	6752	13264	20244	41079	8106	36811
Faecalibacterium longum PLC208.21	15437	50092	0	0	61124	39183	58026	0	0	37736	134880	12984	272943	38537	30924	27014	37587	124348	12985	6763	27287	8290	12751	12440	165555	7121	64922	17289	11733	202210	11709	11420	0	39012	0	60220	0	27929	3522	19190	7569	47739	0	0	35300	0	109207	30040	0	15283	27743	8527	0	75500	0	0	12624	23750	1053	9163	33491	36798	74869	66483	144855	1407	7413	96936	10518	75599	59494	11696	41558	19311	36067	68928
Dysosmobacter welbionis PLC210.10	0	3101	0	1148	16872	148888	12289	717	22979	121402	0	33746	852	3396	5858	7591	20588	168966	26382	103640	5954	2177	2072	24177	19322	0	3391	114302	167865	2649	49861	17775	5762	1918	0	1654	2139	4963	887	7467	45724	5750	460	0	19521	0	31641	4095	0	3989	20156	9739	0	19149	0	0	747	7234	0	0	153549	8362	9460	4315	23083	638	0	6736	2239	10438	156460	40159	80644	24321	85401	41991
Faecalibacterium duncaniae PLC210.24	41510	155768	0	20609	255052	197321	193901	67001	74983	78358	62242	196813	78445	151083	7935	7271	224713	63267	79836	97474	26914	63683	62399	116213	651678	56285	1014282	82685	67247	36213	99389	63614	118290	0	92953	374383	79011	122050	37747	90037	42138	289068	64992	54470	73802	104796	137846	59997	95842	21824	253671	107127	88316	157740	168612	123532	41712	124898	3532	73013	42120	197397	200399	170442	423437	66444	86282	225540	8149	865301	340479	99540	165115	424166	999378	309937
Ruminococcus_E bromii_B PLC212.26	45127	23790	795	18449	25425	68251	68362	11772	347751	25920	112522	67481	95334	24484	57585	21174	59772	53294	78556	48587	17535	13106	18609	76547	56864	16422	168261	49534	33976	66086	45488	89936	16227	226871	2340	93289	13525	131012	51985	111931	65088	60083	446	0	39913	0	43980	32504	7216	64991	122902	26239	13259	235288	1236	3696	1167	31513	0	6109	30257	87993	163539	256350	24843	27444	5254	125828	780	138085	73920	67138	58602	24715	80947	65612
Blautia_A massiliensis PLC212.9	60770	59188	17190	5654	56114	66451	143203	2094	629	10860	950	83836	60660	86450	14984	0	100861	2321	58654	79984	87272	44160	31757	843654	145317	28732	96330	73361	65021	8565	50686	85784	42735	2445	728	47130	4270	204190	652	57192	636	25236	1313	2033	6573	34029	159197	11261	0	1073	39117	54346	0	139131	7931	668	211183	207618	2330	51708	495	77437	106842	21512	78783	34766	0	57702	2189	79951	3279	39587	63788	58295	389737	82377
Faecalimonas umbilicata PLC213.1	292517	0	13161	39524	1397	1366	1659	224242	27248	556	2267	669	30195	0	405	14564	2188	15311	3276	14981	0	362539	277945	399272	2029	0	0	18775	14144	10711	629	741	883	42356	3548	0	24482	923	230420	957	35743	0	1787	223135	10860	6968	3331	0	352690	79325	461	1070	15881	0	0	1373	69367	1608	670881	0	3576	653	497	2007	1086	514464	0	649	3900	925	4007	1659	0	7174	883	1517
Roseburia sp003470905 PLC213.4	9983	3850	0	4545	26964	8125	82257	1975	13056	4176	6565	22270	15182	3744	0	6613	10470	3885	12451	9632	5250	13979	10892	1019	18976	4465	274070	7447	9559	4336	18844	11404	25175	0	0	17737	15691	9432	729	82096	10043	4034	0	0	15767	2384	25551	2504	2256	4204	29488	22718	917	7503	2593	0	3627	4791	0	0	5422	14840	4277	84983	16488	28167	0	47487	0	32323	11683	9935	10874	12624	9354	11164
Lachnospira eligens_A PLC213.8	2739	1785	0	2406	7281	12313	24053	0	13455	0	2462	13754	44507	2966	11540	14529	19005	6107	10145	57490	23918	807	3032	31836	5147	24048	52385	79467	84746	14386	6225	20710	7658	1020	0	23248	29397	34979	0	51051	7830	0	0	0	4447	2966	19470	0	0	25879	37784	12314	0	29784	1957	0	1270	0	1339	0	4947	18455	35569	21045	1100	18763	0	25038	1656	2709	559	9424	31372	5859	2634	15531
Streptococcus salivarius PLC214.23	63326	88243	2229	118745	20015	170002	22095	12248	2259	701	3985	18425	17187	106957	5073	0	0	0	11976	5492	18456	38297	26858	26216	38330	61425	18408	2852	2836	5882	13836	97886	2670	5636	12794	16275	81529	778368	584	13021	12174	2146	1697	3518	3187	5550	10505	15889	91911	0	5125	8129	5079	5345	9474	19036	29928	28475	67801	3937	21648	7070	11924	8360	23503	10066	4160	4756	26660	1150	1086	5795	1841	14608	1960	602
Ruminococcaceae PLC214.4	15953	3460	0	8451	12126	1023191	26635	51421	7341	1958	0	15322	31414	6490	0	0	22681	2722	25714	34417	6825	29600	21060	67070	12804	11861	32607	34873	29130	2570	10138	21039	9009	3054	9031	10036	2872	21966	9938	6969	7499	10804	17164	23251	20400	0	18458	19964	6004	0	14788	12025	4081	32269	4314	5366	22647	34894	9097	54166	32645	11610	11877	19542	10217	8473	10426	12552	14285	9793	0	20058	1147	19201	8827	11469
Bacteroides ovatus PLC215.11	29066	487183	1347	259986	105856	37551	168091	46512	1858255	1951430	892443	180732	403897	298539	544985	6084867	635209	759046	28959	19309	470617	563307	705016	425569	561467	31861	224106	91254	158491	433685	195998	70952	60104	7420208	3741	317601	12915	18067	170138	166069	163632	36544	68469	4486	576212	832	175939	280170	30614	1384005	33081	132758	228094	196308	3146	1626	75265	200325	111433	28311	1572633	255013	223310	7696	442368	250502	703	88366	201405	368283	327700	36015	302781	366244	32554	421392
Blautia stercoris PLC215.17	165173	20072	128992	67447	59672	102017	32029	48082	59442	36624	20001	95822	191743	24353	11081	0	177706	17849	91920	103350	42339	82725	64082	431067	44167	141462	67665	96919	73501	85220	62574	118585	21815	47793	37554	135664	151383	77378	41831	61606	34442	35237	2843	25675	114173	86447	72069	131362	23286	41247	88743	29449	163454	57856	44354	16303	42701	75838	176136	8485	196461	82368	90038	93520	31599	93819	3354	90911	7619	64984	23582	73050	55943	73716	61615	77034
Blautia_A wexlerae PLC215.19	215889	13966	21574	34441	16804	102520	66706	336279	0	12634	49058	44040	25767	23250	18999	749	19393	7027	125704	454678	104417	188343	141099	383840	34834	72571	34554	424570	300969	583	26380	74387	12991	3696	695	54971	42392	129244	19842	70928	72715	89308	31725	9285	27095	17798	95317	17238	9216	19515	26966	20105	925	37412	20297	0	54809	105596	8491	7533	575343	22526	72474	172378	17798	254886	10163	46560	40922	0	15588	85637	2922	253497	126801	10115
Bifidobacterium pseudocatenulatum PLC218.18	239910	286667	0	60100	7017	60482	15565	175508	47207	10500	62841	920	21433	362045	30658	37099	7320	61054	6048	85021	22006	3647	35715	11748	85184	0	0	100516	76361	0	3936	625	6884	72836	127251	12396	0	0	135846	29584	26541	51059	161983	170463	0	87076	9747	172411	155554	19144	32660	3185	88473	0	35827	206286	83830	59469	2332	329357	65758	0	20882	24482	79103	41728	289620	67383	66447	33835	3766	12509	49549	0	57097	16303
Phocaeicola vulgatus PLC218.21	341713	1485951	0	123932	490008	237439	899154	38463	86868	304894	11751846	325406	2214420	903212	3275154	9125764	1092596	491793	219336	200696	2869801	65786	62059	589863	201937	241775	350616	247956	215927	7279211	460677	121629	319159	196773	2554	1719538	469894	260391	1958455	425377	706767	97478	0	0	658221	7466	559402	46198	2824509	10858347	184020	263973	5757833	809735	15935	3416	12266	112072	654452	183965	885879	1426017	2633137	83264	366959	1904085	265958	293322	154450	503676	1077555	223199	3460414	880880	150657	783037
