user_genome	classification	ID
S72.25	Collinsella sp900552425	Collinsella sp900552425 S72.25
S72.28	Prevotella sp003447235	Prevotella sp003447235 S72.28
S72.3	Faecalibacillus faecis	Faecalibacillus faecis S72.3
S72.33	Fimenecus sp000432435	Fimenecus sp000432435 S72.33
S73.13	Agathobacter rectalis	Agathobacter rectalis S73.13
S73.16	Adlercreutzia equolifaciens	Adlercreutzia equolifaciens S73.16
S73.18	Faecalibacillus intestinalis	Faecalibacillus intestinalis S73.18
S73.2	Anaerobutyricum hallii	Anaerobutyricum hallii S73.2
S73.24	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum S73.24
S73.25	Bifidobacterium longum	Bifidobacterium longum S73.25
S73.29	Ruminococcus_E sp934476515	Ruminococcus_E sp934476515 S73.29
S73.4	Roseburia hominis	Roseburia hominis S73.4
S74.1	Senegalimassilia anaerobia	Senegalimassilia anaerobia S74.1
S74.19	Oscillospiraceae	Oscillospiraceae S74.19
S74.31	Fimenecus sp000432435	Fimenecus sp000432435 S74.31
S74.32	Vescimonas coprocola	Vescimonas coprocola S74.32
S74.7	Copromonas sp000435795	Copromonas sp000435795 S74.7
S75.14	Clostridium_AQ sp003481775	Clostridium_AQ sp003481775 S75.14
S75.18	Ruminococcus_E sp003526955	Ruminococcus_E sp003526955 S75.18
S75.20	Vescimonas sp000435555	Vescimonas sp000435555 S75.20
S75.21	Acutalibacteraceae	Acutalibacteraceae S75.21
S75.23	Christensenellales	Christensenellales S75.23
S75.25	Roseburia inulinivorans	Roseburia inulinivorans S75.25
S75.27	Christensenellales	Christensenellales S75.27
S75.28	Dielma fastidiosa	Dielma fastidiosa S75.28
S75.32	Faecalimonas	Faecalimonas S75.32
S75.35	Barnesiella intestinihominis	Barnesiella intestinihominis S75.35
S75.45	Bacteroides uniformis	Bacteroides uniformis S75.45
S75.53	Dialister invisus	Dialister invisus S75.53
S75.6	Akkermansia muciniphila	Akkermansia muciniphila S75.6
S75.8	TANB77	TANB77 S75.8
S76.13	Phocaeicola dorei	Phocaeicola dorei S76.13
S76.14	Alistipes finegoldii	Alistipes finegoldii S76.14
S76.16	Anaerotignum faecicola	Anaerotignum faecicola S76.16
S76.38	Adlercreutzia equolifaciens	Adlercreutzia equolifaciens S76.38
S76.41	Ruminiclostridium_E siraeum	Ruminiclostridium_E siraeum S76.41
S76.58	Ruminococcus_E sp003526955	Ruminococcus_E sp003526955 S76.58
S77.2	Senegalimassilia anaerobia	Senegalimassilia anaerobia S77.2
S77.4	Enterocloster sp900541315	Enterocloster sp900541315 S77.4
S77.6	Anaerostipes hadrus	Anaerostipes hadrus S77.6
S78.10	Collinsella sp003469205	Collinsella sp003469205 S78.10
S78.12	Acidaminococcus massiliensis	Acidaminococcus massiliensis S78.12
S78.7	Parabacteroides distasonis	Parabacteroides distasonis S78.7
S79.1	Christensenellales	Christensenellales S79.1
S79.13	Oscillospiraceae	Oscillospiraceae S79.13
S79.17	Desulfovibrio sp900319575	Desulfovibrio sp900319575 S79.17
S79.22	Gemmiger qucibialis	Gemmiger qucibialis S79.22
S79.27	Acutalibacteraceae	Acutalibacteraceae S79.27
S79.34	Negativibacillus sp000435195	Negativibacillus sp000435195 S79.34
S79.35	Acutalibacteraceae	Acutalibacteraceae S79.35
S79.5	Faecousia sp003525905	Faecousia sp003525905 S79.5
S79.7	Adlercreutzia equolifaciens	Adlercreutzia equolifaciens S79.7
S80.15	Gemmiger sp900539695	Gemmiger sp900539695 S80.15
S80.21	Vescimonas sp003539495	Vescimonas sp003539495 S80.21
S80.28	Christensenellales	Christensenellales S80.28
S80.34	Oscillospiraceae	Oscillospiraceae S80.34
S80.35	Faecousia sp000435995	Faecousia sp000435995 S80.35
S80.36	Acutalibacteraceae	Acutalibacteraceae S80.36
S80.4	Alistipes putredinis	Alistipes putredinis S80.4
S80.6	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B S80.6
S80.8	Gemmiger qucibialis	Gemmiger qucibialis S80.8
S81.10	Copromonas sp000435795	Copromonas sp000435795 S81.10
S81.12	Clostridium_Q fessum	Clostridium_Q fessum S81.12
S81.2	Phascolarctobacterium_A succinatutens	Phascolarctobacterium_A succinatutens S81.2
S81.3	Ruminococcus_B gnavus	Ruminococcus_B gnavus S81.3
S82.2	Morganella morganii_B	Morganella morganii_B S82.2
S82.5	Bifidobacterium longum	Bifidobacterium longum S82.5
S83.11	Christensenellales	Christensenellales S83.11
S83.16	Phascolarctobacterium_A succinatutens_A	Phascolarctobacterium_A succinatutens_A S83.16
S83.17	Alistipes onderdonkii	Alistipes onderdonkii S83.17
S83.18	Acutalibacteraceae	Acutalibacteraceae S83.18
S83.21	Parabacteroides distasonis	Parabacteroides distasonis S83.21
S83.24	Oscillospiraceae	Oscillospiraceae S83.24
S83.25	Ruminococcus_D bicirculans	Ruminococcus_D bicirculans S83.25
S83.32	Oscillospiraceae	Oscillospiraceae S83.32
S83.4	Acutalibacteraceae	Acutalibacteraceae S83.4
S83.7	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B S83.7
S84.10	Mediterraneibacter lactaris	Mediterraneibacter lactaris S84.10
S84.12	Vescimonas sp900552475	Vescimonas sp900552475 S84.12
S84.16	Prevotella stercorea	Prevotella stercorea S84.16
S84.18	Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans S84.18
S84.19	Oscillospiraceae	Oscillospiraceae S84.19
S84.2	Roseburia inulinivorans	Roseburia inulinivorans S84.2
S84.20	Acutalibacteraceae	Acutalibacteraceae S84.20
S84.22	Acutalibacteraceae	Acutalibacteraceae S84.22
S84.30	Phascolarctobacterium_A succinatutens	Phascolarctobacterium_A succinatutens S84.30
S84.34	Agathobacter rectalis	Agathobacter rectalis S84.34
S84.6	Vescimonas coprocola	Vescimonas coprocola S84.6
S85.1	Alistipes putredinis	Alistipes putredinis S85.1
S85.10	Akkermansia muciniphila_B	Akkermansia muciniphila_B S85.10
S85.12	Agathobaculum butyriciproducens	Agathobaculum butyriciproducens S85.12
S86.1	Vescimonas coprocola	Vescimonas coprocola S86.1
S86.10	Phocaeicola massiliensis	Phocaeicola massiliensis S86.10
S86.11	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B S86.11
S86.18	Anaerotignum lactatifermentans	Anaerotignum lactatifermentans S86.18
S86.19	Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans S86.19
S86.26	Clostridium_AQ innocuum	Clostridium_AQ innocuum S86.26
S86.28	Prevotella stercorea	Prevotella stercorea S86.28
S86.29	Negativibacillus sp000435195	Negativibacillus sp000435195 S86.29
S86.5	Desulfovibrio sp900556755	Desulfovibrio sp900556755 S86.5
S86.7	Eubacterium_R sp000436835	Eubacterium_R sp000436835 S86.7
S87.1	Phascolarctobacterium_A succinatutens	Phascolarctobacterium_A succinatutens S87.1
S87.13	Collinsella	Collinsella S87.13
S87.15	Roseburia inulinivorans	Roseburia inulinivorans S87.15
S87.18	Megasphaera sp000417505	Megasphaera sp000417505 S87.18
S87.28	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum S87.28
S87.8	Vescimonas coprocola	Vescimonas coprocola S87.8
