user_genome	classification	ID
PLC287.42	Agathobacter faecis	Agathobacter faecis PLC287.42
PLC287.47	Lachnospiraceae	Lachnospiraceae PLC287.47
PLC287.48	Muribaculaceae	Muribaculaceae PLC287.48
PLC287.54	Ruminococcus_C sp000433635	Ruminococcus_C sp000433635 PLC287.54
PLC288.32	Christensenellales	Christensenellales PLC288.32
PLC288.4	Evtepia excrementipullorum	Evtepia excrementipullorum PLC288.4
PLC288.40	Catenibacterium sp000437715	Catenibacterium sp000437715 PLC288.40
PLC288.8	Eisenbergiella sp900066775	Eisenbergiella sp900066775 PLC288.8
PLC288.9	Dorea_A longicatena_B	Dorea_A longicatena_B PLC288.9
PLC290.12	Acetatifactor sp900066565	Acetatifactor sp900066565 PLC290.12
PLC290.18	Hominisplanchenecus faecis	Hominisplanchenecus faecis PLC290.18
PLC290.2	Oscillospiraceae	Oscillospiraceae PLC290.2
PLC290.27	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B PLC290.27
PLC290.5	TANB77	TANB77 PLC290.5
PLC291.10	Phascolarctobacterium sp900544795	Phascolarctobacterium sp900544795 PLC291.10
PLC291.11	Fusobacterium_A ulcerans	Fusobacterium_A ulcerans PLC291.11
PLC291.7	Bifidobacterium longum	Bifidobacterium longum PLC291.7
PLC291.9	Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron PLC291.9
PLC292.10	Lentihominibacter faecis	Lentihominibacter faecis PLC292.10
PLC292.15	Dialister sp900538805	Dialister sp900538805 PLC292.15
PLC292.2	Limisoma sp000437795	Limisoma sp000437795 PLC292.2
PLC292.25	TANB77	TANB77 PLC292.25
PLC292.3	TANB77	TANB77 PLC292.3
PLC292.5	Acutalibacteraceae	Acutalibacteraceae PLC292.5
PLC292.7	Acutalibacteraceae	Acutalibacteraceae PLC292.7
PLC293.6	Fusobacterium polymorphum	Fusobacterium polymorphum PLC293.6
PLC295.23	Comamonas thiooxydans	Comamonas thiooxydans PLC295.23
PLC295.25	Eubacterium_R sp900539775	Eubacterium_R sp900539775 PLC295.25
PLC295.3	Faecalibacterium duncaniae	Faecalibacterium duncaniae PLC295.3
PLC295.4	Lawsonibacter sp900066825	Lawsonibacter sp900066825 PLC295.4
PLC295.5	Ruminococcus_E sp003526955	Ruminococcus_E sp003526955 PLC295.5
PLC295.7	Agathobacter rectalis	Agathobacter rectalis PLC295.7
PLC296.10	Adlercreutzia equolifaciens	Adlercreutzia equolifaciens PLC296.10
PLC296.25	Anaerostipes hadrus_A	Anaerostipes hadrus_A PLC296.25
PLC296.26	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum PLC296.26
PLC296.4	TANB77	TANB77 PLC296.4
PLC296.9	Gemmiger formicilis	Gemmiger formicilis PLC296.9
PLC297.13	Parasutterella excrementihominis	Parasutterella excrementihominis PLC297.13
PLC297.20	Agathobacter rectalis	Agathobacter rectalis PLC297.20
PLC297.3	Schaedlerella glycyrrhizinilytica_A	Schaedlerella glycyrrhizinilytica_A PLC297.3
PLC297.6	Eggerthella lenta	Eggerthella lenta PLC297.6
PLC297.7	Faecalibacillus intestinalis	Faecalibacillus intestinalis PLC297.7
PLC298.16	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum PLC298.16
PLC298.17	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B PLC298.17
PLC298.18	Veillonella parvula_A	Veillonella parvula_A PLC298.18
PLC298.3	Bifidobacterium adolescentis	Bifidobacterium adolescentis PLC298.3
PLC298.4	Enterocloster sp001517625	Enterocloster sp001517625 PLC298.4
PLC300.15	Faecalibacterium longum	Faecalibacterium longum PLC300.15
PLC300.17	Agathobaculum butyriciproducens	Agathobaculum butyriciproducens PLC300.17
PLC300.22	Clostridia	Clostridia PLC300.22
PLC300.29	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum PLC300.29
PLC300.3	Roseburia inulinivorans	Roseburia inulinivorans PLC300.3
PLC300.7	Faecalibacillus intestinalis	Faecalibacillus intestinalis PLC300.7
PLC300.8	Eggerthella lenta	Eggerthella lenta PLC300.8
PLC301.1	Mediterraneibacter faecis	Mediterraneibacter faecis PLC301.1
PLC301.23	Bifidobacterium longum	Bifidobacterium longum PLC301.23
PLC301.24	Collinsella sp003436275	Collinsella sp003436275 PLC301.24
PLC301.7	Lactococcus lactis	Lactococcus lactis PLC301.7
PLC301.8	Gemmiger sp900539695	Gemmiger sp900539695 PLC301.8
PLC303.1	Gemmiger formicilis	Gemmiger formicilis PLC303.1
PLC303.12	Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans PLC303.12
PLC303.15	Bifidobacterium longum	Bifidobacterium longum PLC303.15
PLC303.18	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum PLC303.18
PLC303.3	Limosilactobacillus mucosae	Limosilactobacillus mucosae PLC303.3
PLC304.13	Akkermansia muciniphila_E	Akkermansia muciniphila_E PLC304.13
PLC304.15	Coprococcus eutactus_A	Coprococcus eutactus_A PLC304.15
PLC304.17	Gemmiger sp900540595	Gemmiger sp900540595 PLC304.17
PLC304.24	Prevotella sp015074785	Prevotella sp015074785 PLC304.24
PLC304.6	Hominisplanchenecus faecis	Hominisplanchenecus faecis PLC304.6
PLC305.18	Clostridium_Q fessum	Clostridium_Q fessum PLC305.18
PLC305.19	Gemmiger formicilis	Gemmiger formicilis PLC305.19
PLC305.29	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum PLC305.29
PLC305.6	Oscillospiraceae	Oscillospiraceae PLC305.6
PLC307.20	Roseburia inulinivorans	Roseburia inulinivorans PLC307.20
PLC307.22	Fenollaria massiliensis	Fenollaria massiliensis PLC307.22
PLC307.27	Parabacteroides distasonis	Parabacteroides distasonis PLC307.27
PLC308.11	Roseburia hominis	Roseburia hominis PLC308.11
